X,Y,Type
0,3,H
3,2,H
5,0,H
11,10,H
10,10,H
9,10,H
11,12,H
10,12,H
9,12,H
7,6,H
5,16,H
4,19,H
16,13,H
18,19,H
18,3,H
7,5,H
7,4,H
7,3,H
7,2,H
19,3,H
16,3,H
15,3,H
19,4,H
19,5,H
18,5,H
17,5,H
15,4,H
15,5,H
16,5,H
5,15,H
18,1,O
10,7,O
1,1,O
19,14,O
7,18,O
9,19
10,19
10,18
15,18
16,18
17,18
11,18
12,18
13,18
14,18
11,17
12,17
13,17
11,19
12,19
13,19
14,19
15,19
16,19
19,18
17,15
16,15
17,16
16,16
19,17
19,16
14,17
15,16
15,17
15,18
14,16
19,12,P
19,9,P
19,10,P
19,11,P
18,12,P
18,9,P
18,10,P
18,11,P
17,12,P
17,9,P
17,10,P
17,11,P
10,0,P
11,0,P
12,0,P
10,1,P
11,1,P
12,1,P
0,13,P
0,14,P
1,13,P
1,14,P
4,0
3,1
2,1
16,0
16,1
17,1
17,2
17,3
2,2
2,3
1,3
6,10
9,6
9,11
10,11
11,11
9,7
18,14
18,15
6,8
7,11
18,16
18,17
6,11
18,18
17,14
16,14
18,4
17,4
16,4
18,4
8,7
7,7
6,7
6,6
6,5
6,4
6,3
6,2
6,1
5,1
4,1
6,9
6,10
6,11
8,11
14,11
13,11
12,11
14,10
15,10
16,10
13,4
14,12
14,13
14,14
15,14
14,8
14,9
14,4
13,7
13,6
13,5
14,7
18,7
17,7
16,7
15,7
18,8
12,5
11,5
7,1
8,1
9,1
10,5
9,5
11,2
11,3
11,4
13,14
12,14
11,14
10,14
9,14
8,14
7,14
6,14
6,15
6,16
6,17
6,18
6,19
4,18
5,18
5,9
4,9
4,10
4,11
4,12
0,12
1,12
2,12
3,12
0,18
1,18
2,18
3,18
1,17
1,16
1,15
